filename,spectral_centroid_mean,spectral_bandwidth_mean,spectral_rolloff_mean,spectral_flatness_mean,spectral_rms_mean,zero_crossing_rate_mean,spectral_flux_mean,spectral_flux_std,rms_kurtosis,rms_skewness,pitch_salience,tempo,chroma_entropy,chroma_crest_mean,chroma_crest_std,silence_rate,tonnetz_mean_0,tonnetz_mean_1,tonnetz_mean_2,tonnetz_mean_3,tonnetz_mean_4,tonnetz_mean_5,tonnetz_std_0,tonnetz_std_1,tonnetz_std_2,tonnetz_std_3,tonnetz_std_4,tonnetz_std_5
Dirty Pretty Things - Bang Bang You're Dead.mp3,2300.3138666054338,2203.578569717221,4537.701134130363,0.031869315,0.16944357690009657,0.11966430517455508,110.36293,47.254864,1.9205682728414866,-1.5028369455991772,0.19445482,151.99908088235293,2.4579072,3.1432655,0.9955452,0.015176329293591003,0.05316121305651843,0.10380041492911612,-0.12003281049929437,0.021221831761534807,-0.009422217890507347,0.002984144304658772,0.15300128230713086,0.14262205141465337,0.13539420016106762,0.1664971113421832,0.0655547441612319,0.06401881894848356
Jane Siberry & KD Lang - Calling All Angels.mp3,1774.76060173458,2252.1411564496207,3564.043078334692,0.008223456,0.07385515748432654,0.06978860372516871,40.650463,34.799126,-0.1193708646544187,0.8603740998867174,0.100798935,61.5234375,2.3686898,3.3815372,1.0958798,0.007657896732125256,0.2550572726998061,0.11153670128508009,0.11109319679328626,-0.11034742185275556,0.0012099308192989157,-0.013064051667210756,0.12639384138151427,0.16020429614037418,0.1981355917488927,0.17609977074163688,0.07347220272721951,0.07741810484430285
Kenny Chesney-For The First Time.mp3,2695.5654796753474,2569.105355956451,5480.068476980653,0.03629267,0.09439367782603954,0.14026060914999364,58.367958,30.109478,-0.09968620669402517,-0.40804853826868037,0.11692807,161.4990234375,2.4052727,3.5865054,1.1711468,0.005097489486427935,0.2612898498196026,0.09576508469855123,0.03946682893744323,-0.022395227544272745,-0.0006767275927388494,0.0077655397783594725,0.13905116967958586,0.19483638761786842,0.2036498404531543,0.20547311891353945,0.08570445003094712,0.07091149922431454
Record Heat - Regular World (Official Audio).mp3,2484.3922478113786,2487.1187310948903,5221.207910771526,0.037324235,0.17282247326207997,0.11212042838786337,105.24931,54.812378,0.4372413309458336,-0.6172497744641822,0.20937544,151.99908088235293,2.4479012,3.3347828,1.3668921,0.030396816624295348,0.15198069754614932,-0.10771629025346573,0.032443111650068183,-0.11751791475826305,-0.04416814343844747,0.010903936562358597,0.1416814073240474,0.18920402216161292,0.20733975409673083,0.15787139762240257,0.07959390497675398,0.056129340374728526
STS9 - Better Day (OFFICIAL AUDIO).mp3,1614.526792289859,2119.3869831777884,3436.7724267947024,0.0057084514,0.055961014821260084,0.062089737004701814,22.081726,22.165094,1.361738882031779,0.8135608881258377,0.08069764,89.10290948275862,2.4141085,4.6878276,1.6836302,0.08141777849220383,0.1900550364439477,0.06645567700445927,0.06833424863951278,-0.1329845477089553,-0.0240030182142263,-0.002347459897428027,0.3021332442776451,0.2458140734797098,0.33024232260058345,0.2469495321839604,0.11235949587430732,0.11049473101163214
