filename,spectral_centroid_mean,spectral_bandwidth_mean,spectral_rolloff_mean,spectral_flatness_mean,spectral_rms_mean,zero_crossing_rate_mean,spectral_flux_mean,spectral_flux_std,rms_kurtosis,rms_skewness,pitch_salience,tempo,chroma_entropy,chroma_crest_mean,chroma_crest_std,silence_rate,tonnetz_mean_0,tonnetz_mean_1,tonnetz_mean_2,tonnetz_mean_3,tonnetz_mean_4,tonnetz_mean_5,tonnetz_std_0,tonnetz_std_1,tonnetz_std_2,tonnetz_std_3,tonnetz_std_4,tonnetz_std_5
Diamond Rugs - Blue Mountains.mp3,2230.7112927586613,2311.199258723404,4637.879199067813,0.037814155,0.11579710589198615,0.1075097958124034,84.07776,35.16199,0.9367037356992731,-0.858522234356812,0.1208078,83.35433467741936,2.4629169,2.470333,0.8982859,0.030293663060278208,0.04499333430103404,-0.0603075516323539,-0.06928902484317868,-0.09668942631529631,-0.0014340848015548546,0.02218554986935808,0.10177070376952192,0.10734222996135748,0.09141492387379782,0.14179310374771323,0.04349575188459107,0.04351531276560746
Kris Allen_ Everybody Just Wants To Dance (Official Audio).mp3,2106.9514355001,2443.381516471355,4478.97131702967,0.016280707,0.1423023582201786,0.08090991343426246,93.35578,54.609722,0.30811130752165905,0.14646072436272098,0.16358176,103.359375,2.4466763,3.5124216,1.3308764,0.00863344844597928,0.12526724735571776,0.11752748104017999,-0.004880388201980329,0.1100576178191531,0.010761653250588935,0.024954455479936213,0.14095005630457366,0.15334734456739008,0.18163188964287064,0.18618599404918654,0.07603152599506996,0.07810332130829908
Lifehouse - First Time.mp3,2922.871254702169,2755.4245879695495,6243.286738188371,0.057506252,0.1727163742357198,0.1523546412371207,115.063416,51.07639,1.3290577459216992,-0.36388363874557084,0.20079528,129.19921875,2.4595933,2.704341,0.8745251,0.019134963768115944,-0.1181222476198045,0.0901103446399202,0.07511044465249193,-0.02022599521834587,-0.019897784717966185,0.004859114385882115,0.13676449678832545,0.10455882120549043,0.12908350191004384,0.14007267261990008,0.05070481832148406,0.04959502413896241
New Fang.mp3,2684.269084448741,2621.2753363114666,5715.634833476233,0.03350053,0.1843348060912714,0.1255254260859367,126.495255,59.221684,1.061174789430022,0.22406175531394945,0.20983092,95.703125,2.467272,2.2408977,0.5950692,0.012983061162389694,0.06277787855803069,-0.04985932118891091,0.01998261637696266,-0.006930431535459797,-0.0018569596606936294,-0.014347020276601195,0.0766400646450657,0.08972319811615606,0.08940533454773289,0.09706001765552875,0.04182633418363356,0.02810711288470585
RAMBUTAN JAM BAND - DOING WHAT THEY TAUGHT US.mp3,2617.5381269842637,2654.361751209656,5720.867080560771,0.044703636,0.15131311125719404,0.1031821604374064,91.89628,57.307415,0.2274424002800126,-0.12535220390125448,0.19894856,143.5546875,2.4649248,3.0250137,1.4114745,0.022464981058937537,0.10711846201836507,-0.06837012668010836,0.07865592071161688,-0.04184508133333306,-0.02643600353756735,-0.02789945291183537,0.0978636701311428,0.14492659710366096,0.16935512317944512,0.14347910098815528,0.07575989574155073,0.04609932134995255
