filename,spectral_centroid_mean,spectral_bandwidth_mean,spectral_rolloff_mean,spectral_flatness_mean,spectral_rms_mean,zero_crossing_rate_mean,spectral_flux_mean,spectral_flux_std,rms_kurtosis,rms_skewness,pitch_salience,tempo,chroma_entropy,chroma_crest_mean,chroma_crest_std,silence_rate,tonnetz_mean_0,tonnetz_mean_1,tonnetz_mean_2,tonnetz_mean_3,tonnetz_mean_4,tonnetz_mean_5,tonnetz_std_0,tonnetz_std_1,tonnetz_std_2,tonnetz_std_3,tonnetz_std_4,tonnetz_std_5
Baby Boy.mp3,2292.2446081911007,2269.4817473100156,4643.339401668281,0.03992249,0.1006355141063456,0.12047943784552292,65.816315,35.065376,0.07941312514150178,-0.08060090559833576,0.114979304,151.99908088235293,2.4503376,2.834484,1.2251706,0.014138118542686243,0.008078396135241188,0.11716786428307191,-0.02758715011951372,-0.10640070605718796,0.0014882094348546804,-0.014925174995376078,0.1735940859493336,0.104902530450717,0.1239402604056825,0.16495498179952744,0.06416714521262143,0.058207236297274416
Bittersweet Symphony (Instrumental).mp3,2207.7810333351717,2343.828936752089,4652.58842198989,0.023867812,0.12028375648441322,0.09581590839460784,67.227646,37.07616,0.43963861889645317,-0.4633136499625708,0.16005279,172.265625,2.384132,3.4655166,1.1172514,0.014705882352941176,0.24982817337252256,-0.1095121340682451,-0.07545711116253527,0.08495847677416318,0.0074972592379112255,-0.00505692969487974,0.13600508034736217,0.10307023809096572,0.17558581879948387,0.18478908486910095,0.07302578119941147,0.07225059149169386
THE TREMELOES Here Comes My Baby 1967 HQ.mp3,2903.402381899785,2690.3285382917015,6133.089285382579,0.068678185,0.08898841720427372,0.13552270229789765,59.302246,20.373894,2.7923666378030605,-1.5985181679926475,0.106599994,92.28515625,2.4464655,2.2419763,0.52046454,0.032661744462520334,0.08557897202567077,-0.0011793230916372038,-0.007903717675141135,-0.04467500826113603,-0.002432737090705051,-0.01627387390909918,0.055617121781074176,0.062487276753938115,0.14562256357283354,0.10023141204579368,0.03525827332094967,0.03102299933726984
The Walkmen - We Can't Be Beat.mp3,1453.2981298974032,1849.4870100750247,2815.250305140724,0.008717387,0.10331084220098077,0.06526621925514893,52.219894,40.725792,-0.2605267838278986,0.3783932879935502,0.13915016,99.38401442307692,2.380411,3.6802714,1.124022,0.020431607450562075,0.23288200500356473,0.10160691933775165,0.09805432749235676,0.011192648777064317,0.000761256836609657,-0.004535679945512364,0.15107607065704595,0.2045922373417741,0.30834150240200714,0.21266925151634108,0.09001647765370778,0.09354701638093768
This Is Our Moment.mp3,2406.4608610083187,2388.945776705671,4874.221093627777,0.030768204,0.1512918228750476,0.1264132656054443,94.140686,41.951824,2.0517567006266733,-0.8573359994123998,0.18151702,143.5546875,2.4296007,2.9091864,1.1285632,0.012390488110137671,0.12151568568951039,0.18706685089167113,0.030682041534124748,0.11522881606971384,0.018692125428337997,0.023153655754780525,0.10761101332285052,0.17023444745637248,0.15994855274345834,0.18236871100534197,0.05214573854968829,0.06323171189820796
