filename,spectral_centroid_mean,spectral_bandwidth_mean,spectral_rolloff_mean,spectral_flatness_mean,spectral_rms_mean,zero_crossing_rate_mean,spectral_flux_mean,spectral_flux_std,rms_kurtosis,rms_skewness,pitch_salience,tempo,chroma_entropy,chroma_crest_mean,chroma_crest_std,silence_rate,tonnetz_mean_0,tonnetz_mean_1,tonnetz_mean_2,tonnetz_mean_3,tonnetz_mean_4,tonnetz_mean_5,tonnetz_std_0,tonnetz_std_1,tonnetz_std_2,tonnetz_std_3,tonnetz_std_4,tonnetz_std_5
It's You.mp3,1385.1349848213104,1736.619295500311,2688.3457203810126,0.004175747,0.08553852251325668,0.06342948127999563,24.378952,13.096138,1.840257158555417,-0.684555591515695,0.1309692,73.828125,2.2447455,5.283648,1.551114,0.022905759162303665,-0.3128423552909456,0.2717245165097825,0.028148813434042675,0.03484057495882237,-0.042041612424386775,-0.06858680082093942,0.21760401921390804,0.23229440121571343,0.17180983251898674,0.4646161210277529,0.1774462980069687,0.09682846492868756
Opus Orange - Balance.mp3,2575.943585720945,2561.4249675664755,5473.30401958488,0.033124555,0.0894119205333821,0.11678383683717428,61.05314,44.453167,1.1549299500977197,0.8503106543294819,0.10444356,103.359375,2.4612129,2.9549742,1.0272225,0.04511067525917624,0.02639244471373789,-0.11946252923712722,-0.0635372738997275,0.010151799538901583,0.015280427822431207,-0.0037213616389791654,0.12524325494099023,0.1101260363471415,0.14915463060492334,0.17637409261228107,0.06513363406856877,0.0624891842321854
The Script - Dead Man Walking (Audio).mp3,2377.65027048728,2450.1524134335586,5125.62386074115,0.034435604,0.12845993120754906,0.10852735489753493,77.0951,47.362595,-0.7014127177394127,-0.32310453297889885,0.17069502,172.265625,2.3971903,3.5676286,1.2871796,0.03227711080495965,0.21308821135442443,-0.18286538670719865,-0.08476240079462022,0.07078856628618566,0.030555038106428845,0.006410691103799879,0.1680202852578049,0.12858109893130926,0.16163029312885882,0.2037842441811432,0.07522215648635476,0.0831131829491036
Tiggs da author RUN lirik.mp3,2508.684712794157,2531.9156941222536,5409.7234555432515,0.085005626,0.14291466801358144,0.10026942142151464,90.66569,51.086437,-0.8009661550710279,-0.3075714903977053,0.18777011,83.35433467741936,2.455272,2.5096347,0.88497555,0.06413578647317958,-0.010077688691756256,0.050286582719912924,0.09091071355258926,0.04325963623104236,0.03640127445242531,-0.029690658142651875,0.07214703635518763,0.08912917893082067,0.13459634970745518,0.10674703829940593,0.040589367829739376,0.05164016929010507
Wavves - Post Acid.mp3,2399.6298731614734,2284.8011828897493,4703.685776736608,0.028601537,0.20739890094303892,0.12336607871467536,139.02391,46.653324,2.1089822582139908,-0.8639095133307733,0.25508705,123.046875,2.465412,2.2169912,0.6704307,0.00554462529064568,0.00832216989572379,-0.09036619869423523,0.06837386569863427,0.02508194578044939,0.015627655764786887,-0.012354443035819907,0.11470609093492082,0.09519422320095887,0.12451940993603308,0.10260123223985072,0.03692964325400758,0.03823614550334165
